epsilon,dataset_size,mse,result,time
2.0,3000,5.845478534698486,5.845478534698486,26.94883465766907
2.0,3000,5.822466850280763,5.822466850280763,26.96073269844055
2.0,3000,5.789930820465088,5.789930820465088,26.992905378341675
2.0,3000,5.838737964630128,5.838737964630128,26.961000204086304
2.5,3000,5.876865863800049,5.876865863800049,26.90712285041809
2.5,3000,5.848127365112305,5.848127365112305,26.96291875839233
2.5,3000,5.8581223487854,5.8581223487854,27.1492440700531
2.5,3000,5.842780113220215,5.842780113220215,26.94706392288208
2.5,3000,5.8166093826293945,5.8166093826293945,26.90807199478149
2.75,3000,5.889172554016112,5.889172554016112,26.977105140686035
2.75,3000,5.760342121124268,5.760342121124268,26.92712688446045
2.75,3000,5.800281524658202,5.800281524658202,26.92657017707825
2.75,3000,5.818068981170653,5.818068981170653,27.077964067459106
2.75,3000,5.857534885406494,5.857534885406494,27.048825979232788
3.0,3000,5.873573780059815,5.873573780059815,26.96938109397888
3.0,3000,5.888942241668701,5.888942241668701,26.9347620010376
3.0,3000,5.918653964996338,5.918653964996338,26.9818332195282
3.0,3000,5.88643217086792,5.88643217086792,26.952800035476685
3.0,3000,5.871591091156006,5.871591091156006,26.945574045181274
-1.0,4000,10.285510063171387,10.285510063171387,11.959447145462036
0.1,4000,21.786108016967773,21.786108016967773,37.32339644432068
0.1,4000,12.374035835266113,12.374035835266113,37.344961404800415
0.1,4000,14.875380516052244,14.875380516052244,37.444920539855964
0.1,4000,22.238487243652344,22.238487243652344,37.4885015487671
0.1,4000,19.559175491333008,19.559175491333008,37.387019872665405
0.75,4000,11.125039100646973,11.125039100646973,37.372650146484375
0.75,4000,11.415627479553224,11.415627479553224,37.38557815551758
0.75,4000,11.730557441711426,11.730557441711426,37.398690462112434
0.75,4000,11.50268840789795,11.50268840789795,37.36861276626587
0.75,4000,11.368616104125975,11.368616104125975,37.342403173446655
0.5,4000,12.396984100341795,12.396984100341795,37.416471242904656
0.5,4000,10.923053741455078,10.923053741455078,37.42426753044128
0.5,4000,11.87714385986328,11.87714385986328,37.41608738899232
0.5,4000,11.335959434509276,11.335959434509276,37.30562996864319
0.5,4000,11.810904502868652,11.810904502868652,37.361764430999756
0.25,4000,12.460668563842773,12.460668563842773,36.66997599601745
0.25,4000,12.492693901062012,12.492693901062012,35.69317674636841
0.25,4000,10.68442153930664,10.68442153930664,35.79113984107971
0.25,4000,11.486245155334473,11.486245155334473,35.793151140213006
0.25,4000,11.112932205200195,11.112932205200195,35.88491463661194
3.0,4000,11.166701316833496,11.166701316833496,36.872251749038696
3.0,4000,11.253510475158693,11.253510475158693,37.508994579315186
3.0,4000,11.497020721435547,11.497020721435547,37.47722268104553
3.0,4000,11.091191291809082,11.091191291809082,37.45579957962036
3.0,4000,11.09274673461914,11.09274673461914,37.449063062667854
1.0,4000,11.637582778930664,11.637582778930664,37.41308689117432
1.0,4000,11.163077354431152,11.163077354431152,37.445549488067634
1.0,4000,11.478083610534668,11.478083610534668,37.5237443447113
1.0,4000,11.24392318725586,11.24392318725586,37.50119972229004
1.0,4000,11.029211044311523,11.029211044311523,37.40171813964844
1.5,4000,11.163658142089844,11.163658142089844,37.465090751647956
1.5,4000,11.39910888671875,11.39910888671875,37.390084981918335
1.5,4000,11.033381462097168,11.033381462097168,37.368063926696784
1.5,4000,10.98907470703125,10.98907470703125,37.387894868850715
1.5,4000,11.279126167297365,11.279126167297365,37.485510587692254
2.0,4000,11.201955795288086,11.201955795288086,37.49330568313599
2.0,4000,11.508414268493652,11.508414268493652,37.56653881072997
2.0,4000,11.199934005737305,11.199934005737305,37.42671012878418
2.0,4000,11.694846153259276,11.694846153259276,37.45787930488585
2.0,4000,11.309064865112305,11.309064865112305,37.42687463760376
2.25,4000,11.426675796508787,11.426675796508787,37.48071312904358
2.25,4000,11.535625457763672,11.535625457763672,37.493496417999275
2.25,4000,11.266321182250975,11.266321182250975,37.54115533828735
2.25,4000,11.155068397521973,11.155068397521973,37.57173705101013
2.25,4000,11.218016624450684,11.218016624450684,37.55195450782776
1.75,4000,11.140739440917967,11.140739440917967,37.422528266906745
1.75,4000,11.236550331115724,11.236550331115724,37.4432225227356
1.75,4000,11.45772933959961,11.45772933959961,35.87372350692749
1.75,4000,11.441493034362793,11.441493034362793,35.840750932693474
1.75,4000,11.501233100891113,11.501233100891113,35.8783643245697
1.25,4000,11.38157558441162,11.38157558441162,35.840728759765625
1.25,4000,11.393972396850586,11.393972396850586,35.813992261886604
1.25,4000,11.33047866821289,11.33047866821289,35.94874978065491
1.25,4000,11.140233993530273,11.140233993530273,35.802237033843994
1.25,4000,11.21218967437744,11.21218967437744,35.890044450759895
