dataset_size,epsilon,result,evaluation_tool,tool,sd,query,time
8000,1.5,92.16735758957107,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.5_2021-05-13T19:53:42,,
8500,1.5,77.17439212681187,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.5_2021-05-13T20:49:53,,
9000,1.5,364.0366988096532,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.5_2021-05-13T21:54:28,,
9358,1.5,97.48639234202466,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.5_2021-05-13T23:03:01,,
1000,1.75,34.812099814060495,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-05-13T17:13:58,,
2000,1.75,85.55987194310643,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-05-13T17:21:28,,
3000,1.75,30.034179845353098,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-05-13T17:29:43,,
4000,1.75,30.311114066145624,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-05-13T17:42:56,,
5000,1.75,241.12288077323538,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-05-13T18:03:18,,
6000,1.75,41.34762376020988,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-05-13T18:31:43,,
7000,1.75,184.7387423778672,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-05-13T19:07:45,,
8000,1.75,45.40094149413394,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-05-13T19:56:29,,
8500,1.75,75.2724315076127,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-05-13T20:53:08,,
9000,1.75,104.2982629545379,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-05-13T21:58:16,,
9358,1.75,47.5788720461679,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-05-13T23:09:30,,
1000,2.0,25.470962327354812,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-05-13T17:14:02,,
2000,2.0,85.30626727638158,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-05-13T17:22:04,,
3000,2.0,139.4891883069601,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-05-13T17:30:46,,
4000,2.0,50.02899349466286,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-05-13T17:44:25,,
5000,2.0,233.69302398679835,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-05-13T18:05:58,,
6000,2.0,317.8960410945298,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-05-13T18:34:02,,
7000,2.0,42.45192984322658,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-05-13T19:13:37,,
8000,2.0,78.53355126839189,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-05-13T20:00:13,,
