query,dataset_size,epsilon,result,tool,time
histogram_q1,2000,0.25,164.48917829083592,smartnoise_dpctgan,
sum_insured,2000,0.25,65.53191489361701,smartnoise_dpctgan,
sum_ppeducat,2000,0.25,18.69593079141301,smartnoise_dpctgan,
sum_ppincimp,2000,0.25,17.234425639178973,smartnoise_dpctgan,
sum_q1,2000,0.25,5.71256764882742,smartnoise_dpctgan,
avg_insured,3000,0.25,78.76420454545455,smartnoise_dpctgan,
avg_ppeducat,3000,0.25,27.52215223657521,smartnoise_dpctgan,
avg_ppincimp,3000,0.25,6.289110633260045,smartnoise_dpctgan,
avg_q1,3000,0.25,4.519849785407728,smartnoise_dpctgan,
count_insured,3000,0.25,0.0,smartnoise_dpctgan,
count_ppeducat,3000,0.25,0.0,smartnoise_dpctgan,
count_ppincimp,3000,0.25,0.0,smartnoise_dpctgan,
count_q1,3000,0.25,0.0,smartnoise_dpctgan,
histogram_insured,3000,0.25,854.1887423282257,smartnoise_dpctgan,
histogram_ppeducat,3000,0.25,280.6503816761193,smartnoise_dpctgan,
histogram_ppincimp,3000,0.25,50.059545220154135,smartnoise_dpctgan,
histogram_q1,3000,0.25,137.65022849926297,smartnoise_dpctgan,
sum_insured,3000,0.25,78.76420454545455,smartnoise_dpctgan,
sum_ppeducat,3000,0.25,27.52215223657521,smartnoise_dpctgan,
sum_ppincimp,3000,0.25,6.289110633260045,smartnoise_dpctgan,
sum_q1,3000,0.25,4.519849785407725,smartnoise_dpctgan,
avg_insured,4000,0.25,74.63245121625235,smartnoise_dpctgan,
avg_ppeducat,4000,0.25,27.26472471190781,smartnoise_dpctgan,
avg_ppincimp,4000,0.25,2.5676638827463973,smartnoise_dpctgan,
avg_q1,4000,0.25,8.80088008800879,smartnoise_dpctgan,
count_insured,4000,0.25,0.0,smartnoise_dpctgan,
count_ppeducat,4000,0.25,0.0,smartnoise_dpctgan,
count_ppincimp,4000,0.25,0.0,smartnoise_dpctgan,
count_q1,4000,0.25,0.0,smartnoise_dpctgan,
histogram_insured,4000,0.25,764.0802818374281,smartnoise_dpctgan,
histogram_ppeducat,4000,0.25,246.84073495816455,smartnoise_dpctgan,
histogram_ppincimp,4000,0.25,40.2148931664829,smartnoise_dpctgan,
histogram_q1,4000,0.25,117.02889857653122,smartnoise_dpctgan,
sum_insured,4000,0.25,74.63245121625233,smartnoise_dpctgan,
sum_ppeducat,4000,0.25,27.26472471190781,smartnoise_dpctgan,
sum_ppincimp,4000,0.25,2.567663882746395,smartnoise_dpctgan,
sum_q1,4000,0.25,8.800880088008801,smartnoise_dpctgan,
avg_insured,5000,0.25,51.681034482758626,smartnoise_dpctgan,
avg_ppeducat,5000,0.25,26.925071298937,smartnoise_dpctgan,
avg_ppincimp,5000,0.25,5.3154414392946565,smartnoise_dpctgan,
avg_q1,5000,0.25,1.1103180268062505,smartnoise_dpctgan,
count_insured,5000,0.25,0.0,smartnoise_dpctgan,
count_ppeducat,5000,0.25,0.0,smartnoise_dpctgan,
count_ppincimp,5000,0.25,0.0,smartnoise_dpctgan,
count_q1,5000,0.25,0.0,smartnoise_dpctgan,
histogram_insured,5000,0.25,472.42721220886887,smartnoise_dpctgan,
histogram_ppeducat,5000,0.25,209.3506384789359,smartnoise_dpctgan,
histogram_ppincimp,5000,0.25,47.66042548110307,smartnoise_dpctgan,
histogram_q1,5000,0.25,102.06582030513734,smartnoise_dpctgan,
sum_insured,5000,0.25,51.681034482758626,smartnoise_dpctgan,
sum_ppeducat,5000,0.25,26.925071298937,smartnoise_dpctgan,
sum_ppincimp,5000,0.25,5.31544143929465,smartnoise_dpctgan,
sum_q1,5000,0.25,1.1103180268062496,smartnoise_dpctgan,
avg_insured,6000,0.25,50.83829096809086,smartnoise_dpctgan,
avg_ppeducat,6000,0.25,27.521488412577526,smartnoise_dpctgan,
avg_ppincimp,6000,0.25,13.995006242197247,smartnoise_dpctgan,
avg_q1,6000,0.25,19.208182118112838,smartnoise_dpctgan,
count_insured,6000,0.25,0.0,smartnoise_dpctgan,
count_ppeducat,6000,0.25,0.0,smartnoise_dpctgan,
count_ppincimp,6000,0.25,0.0,smartnoise_dpctgan,
count_q1,6000,0.25,0.0,smartnoise_dpctgan,
histogram_insured,6000,0.25,441.65110363580465,smartnoise_dpctgan,
histogram_ppeducat,6000,0.25,223.616134772718,smartnoise_dpctgan,
histogram_ppincimp,6000,0.25,87.33425928941682,smartnoise_dpctgan,
histogram_q1,6000,0.25,307.2863922988499,smartnoise_dpctgan,
sum_insured,6000,0.25,50.83829096809086,smartnoise_dpctgan,
sum_ppeducat,6000,0.25,27.521488412577522,smartnoise_dpctgan,
sum_ppincimp,6000,0.25,13.995006242197253,smartnoise_dpctgan,
sum_q1,6000,0.25,19.208182118112834,smartnoise_dpctgan,
avg_insured,7000,0.25,68.72389791183295,smartnoise_dpctgan,
avg_ppeducat,7000,0.25,25.828186412128005,smartnoise_dpctgan,
avg_ppincimp,7000,0.25,5.163219482706497,smartnoise_dpctgan,
avg_q1,7000,0.25,0.7785613540197581,smartnoise_dpctgan,
count_insured,7000,0.25,0.0,smartnoise_dpctgan,
count_ppeducat,7000,0.25,0.0,smartnoise_dpctgan,
count_ppincimp,7000,0.25,0.0,smartnoise_dpctgan,
count_q1,7000,0.25,0.0,smartnoise_dpctgan,
histogram_insured,7000,0.25,589.2363250167361,smartnoise_dpctgan,
histogram_ppeducat,7000,0.25,213.8353131933103,smartnoise_dpctgan,
histogram_ppincimp,7000,0.25,57.22618477304322,smartnoise_dpctgan,
histogram_q1,7000,0.25,91.04696272077184,smartnoise_dpctgan,
sum_insured,7000,0.25,68.72389791183295,smartnoise_dpctgan,
sum_ppeducat,7000,0.25,25.82818641212802,smartnoise_dpctgan,
sum_ppincimp,7000,0.25,5.1632194827065065,smartnoise_dpctgan,
sum_q1,7000,0.25,0.7785613540197461,smartnoise_dpctgan,
avg_insured,8000,0.25,64.68113975576661,smartnoise_dpctgan,
avg_ppeducat,8000,0.25,23.702825366970604,smartnoise_dpctgan,
avg_ppincimp,8000,0.25,8.419306241537786,smartnoise_dpctgan,
avg_q1,8000,0.25,4.790301118722592,smartnoise_dpctgan,
count_insured,8000,0.25,0.0,smartnoise_dpctgan,
count_ppeducat,8000,0.25,0.0,smartnoise_dpctgan,
count_ppincimp,8000,0.25,0.0,smartnoise_dpctgan,
count_q1,8000,0.25,0.0,smartnoise_dpctgan,
histogram_insured,8000,0.25,536.9953883808265,smartnoise_dpctgan,
histogram_ppeducat,8000,0.25,168.01407129177804,smartnoise_dpctgan,
histogram_ppincimp,8000,0.25,64.17806991048948,smartnoise_dpctgan,
histogram_q1,8000,0.25,81.10637543508183,smartnoise_dpctgan,
sum_insured,8000,0.25,64.68113975576662,smartnoise_dpctgan,
sum_ppeducat,8000,0.25,23.7028253669706,smartnoise_dpctgan,
sum_ppincimp,8000,0.25,8.419306241537788,smartnoise_dpctgan,
sum_q1,8000,0.25,4.790301118722586,smartnoise_dpctgan,
avg_insured,8500,0.25,58.48647269014804,smartnoise_dpctgan,
avg_ppeducat,8500,0.25,34.11936400645211,smartnoise_dpctgan,
avg_ppincimp,8500,0.25,9.83053288094102,smartnoise_dpctgan,
avg_q1,8500,0.25,8.474576271186427,smartnoise_dpctgan,
count_insured,8500,0.25,0.0,smartnoise_dpctgan,
count_ppeducat,8500,0.25,0.0,smartnoise_dpctgan,
count_ppincimp,8500,0.25,0.0,smartnoise_dpctgan,
count_q1,8500,0.25,0.0,smartnoise_dpctgan,
histogram_insured,8500,0.25,489.8018353365395,smartnoise_dpctgan,
histogram_ppeducat,8500,0.25,220.97613605371734,smartnoise_dpctgan,
histogram_ppincimp,8500,0.25,68.33746676563213,smartnoise_dpctgan,
histogram_q1,8500,0.25,133.8946026993067,smartnoise_dpctgan,
sum_insured,8500,0.25,58.48647269014804,smartnoise_dpctgan,
sum_ppeducat,8500,0.25,34.11936400645211,smartnoise_dpctgan,
sum_ppincimp,8500,0.25,9.830532880941025,smartnoise_dpctgan,
sum_q1,8500,0.25,8.47457627118644,smartnoise_dpctgan,
avg_insured,1000,0.5,72.05567451820129,smartnoise_dpctgan,
avg_ppeducat,1000,0.5,22.629379620700742,smartnoise_dpctgan,
avg_ppincimp,1000,0.5,0.7275902211874247,smartnoise_dpctgan,
avg_q1,1000,0.5,2.136075949367082,smartnoise_dpctgan,
count_insured,1000,0.5,0.0,smartnoise_dpctgan,
count_ppeducat,1000,0.5,0.0,smartnoise_dpctgan,
count_ppincimp,1000,0.5,0.0,smartnoise_dpctgan,
count_q1,1000,0.5,0.0,smartnoise_dpctgan,
histogram_insured,1000,0.5,722.8325982685949,smartnoise_dpctgan,
histogram_ppeducat,1000,0.5,217.30569219820356,smartnoise_dpctgan,
histogram_ppincimp,1000,0.5,40.25415608474228,smartnoise_dpctgan,
histogram_q1,1000,0.5,60.43613688971777,smartnoise_dpctgan,
sum_insured,1000,0.5,72.05567451820129,smartnoise_dpctgan,
sum_ppeducat,1000,0.5,22.62937962070074,smartnoise_dpctgan,
sum_ppincimp,1000,0.5,0.7275902211874272,smartnoise_dpctgan,
sum_q1,1000,0.5,2.1360759493670884,smartnoise_dpctgan,
avg_insured,2000,0.5,65.31914893617021,smartnoise_dpctgan,
avg_ppeducat,2000,0.5,21.93207305350849,smartnoise_dpctgan,
avg_ppincimp,2000,0.5,8.50558156283759,smartnoise_dpctgan,
avg_q1,2000,0.5,2.024453798356384,smartnoise_dpctgan,
count_insured,2000,0.5,0.0,smartnoise_dpctgan,
count_ppeducat,2000,0.5,0.0,smartnoise_dpctgan,
count_ppincimp,2000,0.5,0.0,smartnoise_dpctgan,
count_q1,2000,0.5,0.0,smartnoise_dpctgan,
histogram_insured,2000,0.5,725.0785137931122,smartnoise_dpctgan,
histogram_ppeducat,2000,0.5,251.78155822497465,smartnoise_dpctgan,
histogram_ppincimp,2000,0.5,63.935082702634546,smartnoise_dpctgan,
histogram_q1,2000,0.5,96.10098342410576,smartnoise_dpctgan,
sum_insured,2000,0.5,65.31914893617021,smartnoise_dpctgan,
sum_ppeducat,2000,0.5,21.932073053508493,smartnoise_dpctgan,
sum_ppincimp,2000,0.5,8.505581562837595,smartnoise_dpctgan,
sum_q1,2000,0.5,2.024453798356384,smartnoise_dpctgan,
avg_insured,3000,0.5,53.65767045454546,smartnoise_dpctgan,
avg_ppeducat,3000,0.5,25.194832924095227,smartnoise_dpctgan,
avg_ppincimp,3000,0.5,13.191910894198944,smartnoise_dpctgan,
avg_q1,3000,0.5,16.29560085836911,smartnoise_dpctgan,
