dataset_size,epsilon,result,evaluation_tool,tool,sd,query,time
2000,2.0,1406.8059011471141,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_2.0_2021-05-15T07:13:13,,
5000,2.0,999.287330879635,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_2.0_2021-05-15T07:33:01,,
5499,2.0,1021.111255755299,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_2.0_2021-05-15T07:41:19,,
2000,2.25,1486.257841368121,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_2.25_2021-05-15T07:13:41,,
3000,2.25,1562.8799326896417,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_2.25_2021-05-15T07:18:52,,
4000,2.25,1011.5641583772288,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_2.25_2021-05-15T07:25:34,,
5499,2.25,999.6420566459765,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_2.25_2021-05-15T07:42:36,,
1000,2.5,2913.8857463797694,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_2.5_2021-05-15T07:09:46,,
5000,2.5,870.2733003828596,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_2.5_2021-05-15T07:34:37,,
5499,2.5,1011.3903105888115,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_2.5_2021-05-15T07:43:07,,
1000,2.75,2731.0115702208523,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_2.75_2021-05-15T07:10:16,,
3000,2.75,1728.5296737987703,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_2.75_2021-05-15T07:20:09,,
5499,2.75,904.8867720791014,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_2.75_2021-05-15T07:44:31,,
1000,3.0,3514.7307933830307,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_3.0_2021-05-15T07:10:48,,
2000,3.0,1511.5176494142327,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_3.0_2021-05-15T07:15:12,,
4000,3.0,873.3537297253804,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_3.0_2021-05-15T07:28:18,,
5000,3.0,851.4123441177082,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_3.0_2021-05-15T07:36:37,,
5499,3.0,1031.2267198522875,diffprivlib,smartnoise_patectgan,smartnoise_patectgan_3.0_2021-05-15T07:45:09,,
1000,0.1,2840.1362599408935,opacus,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-05-17T10:18:28,,
